id,loan_status
58645,1.0
58646,0.125
58647,0.625
58648,0.0
58649,0.25
58650,0.875
58651,0.0
58652,0.0
58653,0.125
58654,0.0
58655,0.25
58656,0.25
58657,0.125
58658,0.0
58659,0.0
58660,0.0
58661,0.0
58662,0.0
58663,0.0
58664,0.0
58665,0.0
58666,0.0
58667,0.0
58668,0.0
58669,0.0
58670,0.0
58671,0.0
58672,0.0
58673,0.75
58674,0.0
58675,0.0
58676,0.125
58677,0.0
58678,0.0
58679,0.25
58680,0.625
58681,0.0
58682,0.0
58683,0.625
58684,0.0
58685,0.0
58686,0.0
58687,0.5
58688,0.0
58689,0.375
58690,0.0
58691,0.0
58692,0.0
58693,0.0
58694,0.0
58695,0.625
58696,0.0
58697,0.375
58698,0.0
58699,0.0
58700,0.0
58701,0.0
58702,0.0
58703,0.25
58704,0.125
58705,0.25
58706,0.0
58707,0.0
58708,0.0
58709,0.75
58710,0.0
58711,0.875
58712,0.125
58713,0.0
58714,0.0
58715,0.0
58716,0.0
58717,0.0
58718,0.25
58719,0.0
58720,0.0
58721,0.25
58722,0.125
58723,0.0
58724,0.0
58725,0.0
58726,0.0
58727,0.625
58728,0.0
58729,0.0
58730,0.25
58731,0.0
58732,0.125
58733,0.0
58734,0.0
58735,0.0
58736,0.125
58737,0.125
58738,0.75
58739,0.125
58740,0.875
58741,0.0
58742,0.0
58743,0.0
58744,0.0
58745,0.0
58746,0.0
58747,0.0
58748,0.0
58749,0.0
58750,0.0
58751,0.0
58752,0.625
58753,0.0
58754,0.125
58755,0.125
58756,0.125
58757,0.125
58758,0.0
58759,0.0
58760,0.0
58761,0.0
58762,0.0
58763,1.0
58764,0.0
58765,0.0
58766,0.0
58767,0.0
58768,0.625
58769,0.0
58770,0.0
58771,0.0
58772,0.0
58773,0.0
58774,0.0
58775,0.375
58776,0.0
58777,0.125
58778,0.0
58779,0.0
58780,0.0
58781,0.0
58782,0.0
58783,0.0
58784,0.0
58785,0.0
58786,0.0
58787,0.25
58788,0.375
58789,0.0
58790,0.125
58791,0.0
58792,0.0
58793,0.0
58794,0.0
58795,0.125
58796,0.0
58797,0.0
58798,0.25
58799,0.875
58800,0.0
58801,0.0
58802,0.25
58803,0.0
58804,0.625
58805,1.0
58806,0.0
58807,0.125
58808,0.0
58809,0.625
58810,0.75
58811,0.125
58812,0.125
58813,0.0
58814,0.0
58815,0.0
58816,0.0
58817,0.0
58818,0.0
58819,0.125
58820,0.0
58821,0.0
58822,0.0
58823,0.0
58824,0.0
58825,0.0
58826,0.0
58827,0.0
58828,0.0
58829,0.125
58830,0.125
58831,0.0
58832,0.0
58833,0.0
58834,0.0
58835,0.625
58836,0.0
58837,0.25
58838,0.0
58839,0.0
58840,0.0
58841,0.75
58842,0.0
58843,0.0
58844,0.0
58845,0.0
58846,0.0
58847,0.5
58848,0.25
58849,0.125
58850,0.0
58851,0.0
58852,0.25
58853,0.125
58854,1.0
58855,0.25
58856,0.0
58857,0.25
58858,0.25
58859,0.0
58860,0.125
58861,0.0
58862,0.125
58863,0.125
58864,0.0
58865,0.75
58866,0.0
58867,0.0
58868,0.0
58869,0.0
58870,0.375
58871,0.0
58872,0.0
58873,0.125
58874,1.0
58875,0.0
58876,0.0
58877,0.0
58878,0.0
58879,0.0
58880,0.125
58881,0.0
58882,0.0
58883,0.125
58884,0.25
58885,0.125
58886,0.0
58887,0.625
58888,0.0
